,Year,optimal_h,rra,ara
Norway,2013,3.3200000000000003,2.6272757242677156,2.0050065861957377e-05
Norway,2014,3.3200000000000003,2.981962965522871,2.403354438280528e-05
Norway,2015,3.3200000000000003,5.423013592153225,5.656040344813714e-05
Norway,2016,3.3200000000000003,5.35821159196032,5.559571322690353e-05
Norway,2017,3.3200000000000003,5.682881174316462,6.047869330085634e-05
Norway,2018,3.3200000000000003,4.900714380646908,4.89298337873148e-05
Norway,2019,3.3200000000000003,6.279976668378722,6.977409391379333e-05
Norway,2020,3.3200000000000003,8.167013850184997,0.00010162083751151394
Norway,2021,3.3200000000000003,4.900753014782857,4.893038578389711e-05
Norway,2022,3.3200000000000003,4.02608718756896,3.6931541116010956e-05
Norway,2023,3.3200000000000003,6.8262003000239115,7.86190336971582e-05
Norway,2024,3.3200000000000003,7.274293027595488,8.610752136350121e-05
New Zealand,2013,2.26,1.9679840939581628,3.820724496591053e-05
New Zealand,2014,2.26,1.9184484381317028,3.6499540986819934e-05
New Zealand,2015,2.26,2.3754834496695847,5.354779160498081e-05
New Zealand,2016,2.26,2.2433629298582694,4.832422662270528e-05
New Zealand,2017,2.26,2.2274625372680377,4.771161208438328e-05
New Zealand,2018,2.26,2.1244863958796607,4.382813498362955e-05
New Zealand,2019,2.26,2.029746698485969,4.038471127861639e-05
New Zealand,2020,2.26,2.096531090060277,4.279911118108134e-05
New Zealand,2021,2.26,1.8128550997099793,3.297515469108666e-05
New Zealand,2022,2.26,1.8128550997099793,3.297515469108666e-05
New Zealand,2023,2.26,1.8128550997099793,3.297515469108666e-05
New Zealand,2024,2.26,1.8128550997099793,3.297515469108666e-05
Peru,2013,2.67,9.67003165365192,0.0006583694365535
Peru,2014,2.67,10.12589245903077,0.0007086868378563807
Peru,2015,2.67,10.96655733794431,0.0008050671205561743
Peru,2016,2.67,12.124334815119376,0.0009451920521600016
Peru,2017,2.67,7.705293743323333,0.00045789497544365204
Peru,2018,2.67,4.743137253046322,0.0002107951572730523
Peru,2019,2.67,4.984425342497379,0.00022819906835979181
Peru,2020,2.67,6.3055290892677975,0.00033232413641452556
Peru,2021,2.67,6.105674637796342,0.00031564436125789037
Peru,2022,2.67,3.520250837576397,0.00013086646735781054
Peru,2023,2.67,2.094515141282824,5.705769946069995e-05
Peru,2024,2.67,2.0014824403648097,5.305998660031591e-05
Poland,2013,1.92,2.897197175423217,0.00018040446137634905
Poland,2014,1.92,2.810499557119897,0.00016932101333115107
Poland,2015,1.92,3.2400651482963734,0.00022783614594492897
Poland,2016,1.92,3.348877060839025,0.00024409617884465048
Poland,2017,1.92,3.071483135025736,0.0002037950031208853
Poland,2018,1.92,2.8297332101173387,0.00017174826666613988
Poland,2019,1.92,2.868759431125161,0.0001767286310573457
Poland,2020,1.92,2.877498761760332,0.00017785407238522642
Poland,2021,1.92,2.6305462571622344,0.00014748124084202528
Poland,2022,1.92,2.7606374720918527,0.00016311224361313862
Poland,2023,1.92,2.479874101218364,0.00013039971960300079
Poland,2024,1.92,2.251484084018473,0.00010658752869838108
Portugal,2013,2.51,1.921161417610634,4.1863703252698604e-05
Portugal,2014,2.51,1.9765219010532296,4.388803431376199e-05
Portugal,2015,2.51,2.5373354125448304,6.647539945013641e-05
Portugal,2016,2.51,1.852523470750885,3.940704221534565e-05
Portugal,2017,2.51,1.7371321134149402,3.54116125704888e-05
Portugal,2018,2.51,1.777234359865702,3.6780844503752624e-05
Portugal,2019,2.51,1.752946116505044,3.5949086355409596e-05
Portugal,2020,2.51,1.753298199077177,3.596108934626668e-05
Portugal,2021,2.51,1.6257816774605347,3.171916064018826e-05
Portugal,2022,2.51,1.9014082233979561,4.115064493797112e-05
Portugal,2023,2.51,1.7404475816676794,3.552402875060393e-05
Portugal,2024,2.51,1.647917057461117,3.244025781755443e-05
Singapore,2013,3.3100000000000005,6.109538755719492,0.00010821825947790107
Singapore,2014,3.3100000000000005,5.920440207342517,0.00010345110017285296
Singapore,2015,3.3100000000000005,7.978507944763116,0.00015863269478533814
Singapore,2016,3.3100000000000005,6.865300197880772,0.00012790235459173463
Singapore,2017,3.3100000000000005,5.6108299071085375,9.578775484696678e-05
Singapore,2018,3.3100000000000005,5.544160025233662,9.416105417703922e-05
Singapore,2019,3.3100000000000005,5.478619468011711,9.257014088613249e-05
Singapore,2020,3.3100000000000005,7.124311294319418,0.00013487280391590763
Singapore,2021,3.3100000000000005,4.214172489294858,6.355932401471174e-05
Singapore,2022,3.3100000000000005,4.401791851517092,6.765279221002693e-05
Singapore,2023,3.3100000000000005,5.522724612965655,9.363983600802027e-05
